,name,bus,p_kw,q_kvar,sn_kva,scaling,in_service,type
0,42778481,1525,-7.7481586812000005,-0.0,12.81238,1.0,True,PV
1,42816058,1458,-6.641278869600001,-0.0,10.98204,1.0,True,PV
2,42819953,767,-4.4275192464,-0.0,7.32136,1.0,True,PV
3,42819954,691,-4.4275192464,-0.0,7.32136,1.0,True,PV
4,78874605,741,-6.641278869600001,-0.0,10.98204,1.0,True,PV
5,42783662,1467,-3.3206394348000003,-0.0,5.49102,1.0,True,PV
6,42783436,1131,-2.2137596232,-0.0,3.66068,1.0,True,PV
7,42762511,699,-3.3206394348000003,-0.0,5.49102,1.0,True,PV
8,42787380,890,-4.4275192464,-0.0,7.32136,1.0,True,PV
9,42819955,972,-4.4275192464,-0.0,7.32136,1.0,True,PV
10,183882638,636,-2.2137596232,-0.0,3.66068,1.0,True,PV
11,42762547,1210,-12.1756779276,-0.0,20.13374,1.0,True,PV
12,42779885,1432,-4.4275192464,-0.0,7.32136,1.0,True,PV
13,42782002,1555,-2.2137596232,-0.0,3.66068,1.0,True,PV
