,name,bus,p_kw,q_kvar,sn_kva,scaling,in_service,type,DeviceNumber,DeviceType,LoadModelName,ActiveGeneration,PowerFactor,ProducedActGen
0,42778481,1525,-7.7481586812000005,-0.0,12.81238,1.0,True,PV,42778481,45,MOYENNE,12.81238,100.0,7.7481586812000005
1,42816058,1458,-6.641278869600001,-0.0,10.98204,1.0,True,PV,42816058,45,MOYENNE,10.98204,100.0,6.641278869600001
2,42819953,767,-4.4275192464,-0.0,7.32136,1.0,True,PV,42819953,45,MOYENNE,7.32136,100.0,4.4275192464
3,42819954,691,-4.4275192464,-0.0,7.32136,1.0,True,PV,42819954,45,MOYENNE,7.32136,100.0,4.4275192464
4,78874605,741,-6.641278869600001,-0.0,10.98204,1.0,True,PV,78874605,45,MOYENNE,10.98204,100.0,6.641278869600001
5,42783662,1467,-3.3206394348000003,-0.0,5.49102,1.0,True,PV,42783662,45,MOYENNE,5.49102,100.0,3.3206394348000003
6,42783436,1131,-2.2137596232,-0.0,3.66068,1.0,True,PV,42783436,45,MOYENNE,3.66068,100.0,2.2137596232
7,42762511,699,-3.3206394348000003,-0.0,5.49102,1.0,True,PV,42762511,45,MOYENNE,5.49102,100.0,3.3206394348000003
8,42787380,890,-4.4275192464,-0.0,7.32136,1.0,True,PV,42787380,45,MOYENNE,7.32136,100.0,4.4275192464
9,42819955,972,-4.4275192464,-0.0,7.32136,1.0,True,PV,42819955,45,MOYENNE,7.32136,100.0,4.4275192464
10,183882638,636,-2.2137596232,-0.0,3.66068,1.0,True,PV,183882638,45,MOYENNE,3.66068,100.0,2.2137596232
11,42762547,1210,-12.1756779276,-0.0,20.13374,1.0,True,PV,42762547,45,MOYENNE,20.13374,100.0,12.1756779276
12,42779885,1432,-4.4275192464,-0.0,7.32136,1.0,True,PV,42779885,45,MOYENNE,7.32136,100.0,4.4275192464
13,42782002,1555,-2.2137596232,-0.0,3.66068,1.0,True,PV,42782002,45,MOYENNE,3.66068,100.0,2.2137596232
